well,target,model,split,r2_train,r2_test,formula,well_desens
ZXX3,SMOD,XGBoost,Random,0.9995,0.9984,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,SMOD,Poly3,Random,0.9995,0.9994,Poly(deg=3),WellB
ZXX3,SMOD,Poly2,Random,0.9992,0.999,Poly(deg=2),WellB
ZXX3,SMOD,RF,Random,0.9993,0.9984,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,SMOD,MLP_BP,Random,0.9988,0.9973,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,SMOD,Linear_multi,Random,0.9865,0.9867,linear_multi,WellB
ZXX3,SHMAX,Linear_single,Random,0.4788,0.5156,49.1 * RMSC + 36.59,WellB
ZXX3,SHMAX,SVR_rbf,Random,0.817,0.851,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 'scale'}, y-scaled)",WellB
ZXX3,SHMAX,XGBoost,Random,0.9427,0.9301,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,SHMAX,Poly3,Random,0.7738,0.7939,Poly(deg=3),WellB
ZXX3,SHMAX,Poly2,Random,0.7272,0.7605,Poly(deg=2),WellB
ZXX3,SHMAX,RF,Random,0.9492,0.9264,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,SHMAX,MLP_BP,Random,0.8873,0.8917,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
