model,n,train_med,test_med,test_clip
Poly3,16,1.0,0.999,0.79
Poly2,16,0.999,0.999,0.785
PySR,16,0.998,0.998,0.76
RF,16,0.998,0.998,0.802
XGBoost,16,0.999,0.997,0.804
SVR_rbf,16,0.997,0.994,0.795
MLP_BP,16,0.994,0.988,0.787
Linear_multi,16,0.985,0.985,0.761
gplearn,16,0.978,0.982,0.731
Linear_single,16,0.932,0.936,0.706
