well,target,model,r2_train,r2_test,mae_test,n_train,n_test,formula,well_desens
ZXX2,SHMAX,Linear_multi,0.8015,-2.5459,18.0248,2140,535,-0.4392*DTC + -0.2666*DTS + -11.89*DEN + -0.02008*GR + -0.4248*CNL + -0.0001871*LLD + -0.04964*LLS + 0.4109*RMSC + 0.1808*CAL + 0.09991*AC + 220,WellA
ZXX2,YMOD,Linear_single,0.6082,0.6993,7040.1581,2140,535,-583.7 * DTC + 8.058e+04,WellA
ZXX2,YMOD,SVR_rbf,0.4418,-0.2968,14613.7283,2140,535,"SVR(rbf, C=10)",WellA
ZXX2,YMOD,XGBoost,0.9992,0.5974,8057.0549,2140,535,"XGBoost(n=200, depth=6)",WellA
ZXX2,YMOD,Poly3,0.9579,-45141652712809.63,8643913554.0905,2140,535,"Poly(deg=3, n_terms=285)",WellA
ZXX2,YMOD,Poly2,0.9166,-4812816.8704,2871682.6757,2140,535,"Poly(deg=2, n_terms=65)",WellA
ZXX2,YMOD,RF,0.9971,0.4279,9452.1335,2140,535,RF(n=200),WellA
ZXX2,YMOD,MLP_BP,0.9115,-558.4353,158405.6461,2140,535,"MLP-BP(64,32)",WellA
ZXX2,YMOD,Linear_multi,0.86,-0.4908,5508.4836,2140,535,-323*DTC + -167.2*DTS + 9780*DEN + 24.85*GR + -78.41*CNL + 0.02534*LLD + 24.79*LLS + -6661*RMSC + 51.69*CAL + -3.041*AC + 6.911e+04,WellA
ZXX2,POIS,Linear_single,0.9844,0.8928,0.0087,2140,535,0.3068 * RMSC + -0.2756,WellA
ZXX2,POIS,SVR_rbf,-0.2269,-0.2751,0.0439,2140,535,"SVR(rbf, C=10)",WellA
ZXX2,POIS,XGBoost,0.9998,0.8166,0.0063,2140,535,"XGBoost(n=200, depth=6)",WellA
ZXX2,POIS,Poly3,0.9998,-120394648419.8244,843.8043,2140,535,"Poly(deg=3, n_terms=285)",WellA
ZXX2,POIS,Poly2,0.9997,-13944.8895,0.5508,2140,535,"Poly(deg=2, n_terms=65)",WellA
ZXX2,POIS,RF,1.0,0.8311,0.0055,2140,535,RF(n=200),WellA
ZXX2,POIS,MLP_BP,-0.1512,-15746.6025,1.1954,2140,535,"MLP-BP(64,32)",WellA
ZXX2,POIS,Linear_multi,0.9873,0.2973,0.0204,2140,535,-0.0002438*DTC + 6.708e-05*DTS + 0.02279*DEN + -3.137e-05*GR + 8.945e-05*CNL + -1.016e-08*LLD + 4.151e-05*LLS + 0.3024*RMSC + 2.908e-05*CAL + -8.364e-06*AC + -0.3178,WellA
ZXX7,SMOD,Linear_single,0.9428,0.9337,1.1686,2621,655,-0.281 * DTS + 51.59,WellD
ZXX7,SMOD,SVR_rbf,0.9995,0.0742,4.1436,2621,655,"SVR(rbf, C=10)",WellD
ZXX7,SMOD,XGBoost,0.9999,0.9533,0.7507,2621,655,"XGBoost(n=200, depth=6)",WellD
ZXX7,SMOD,Poly3,0.9997,-17062541002509.326,790446.1897,2621,655,"Poly(deg=3, n_terms=285)",WellD
ZXX7,SMOD,Poly2,0.9996,-414230.1353,123.4343,2621,655,"Poly(deg=2, n_terms=65)",WellD
ZXX7,SMOD,RF,0.9997,0.9,0.9942,2621,655,RF(n=200),WellD
ZXX7,SMOD,MLP_BP,0.9987,-456.2078,10.594,2621,655,"MLP-BP(64,32)",WellD
ZXX7,SMOD,Linear_multi,0.995,-28.7903,2.7655,2621,655,-0.4783*DTC + 0.04624*DTS + 7.729*DEN + -0.01458*GR + -0.02869*CNL + 4.821e-06*LLD + -0.0004083*LLS + -17.76*RMSC + 0.04075*CAL + 0.003921*AC + 55.01,WellD
ZXX7,SHMAX,Linear_single,0.0492,-0.1668,834.1492,2621,655,-0.05987 * LLD + -575.7,WellD
ZXX7,SHMAX,SVR_rbf,0.0666,-0.0298,553.787,2621,655,"SVR(rbf, C=10)",WellD
ZXX7,SHMAX,XGBoost,1.0,-12.2055,2022.4524,2621,655,"XGBoost(n=200, depth=6)",WellD
ZXX7,SHMAX,Poly3,0.9988,-203777109878232.94,693068333.1912,2621,655,"Poly(deg=3, n_terms=285)",WellD
ZXX7,SHMAX,Poly2,0.985,-53998599881.0137,11295298.7612,2621,655,"Poly(deg=2, n_terms=65)",WellD
ZXX7,SHMAX,RF,0.9987,-12.4347,3038.551,2621,655,RF(n=200),WellD
ZXX7,SHMAX,MLP_BP,0.9976,-51236.4741,16317.4438,2621,655,"MLP-BP(64,32)",WellD
ZXX7,SHMAX,Linear_multi,0.8902,-37596.7693,12999.2583,2621,655,-974.4*DTC + 468.2*DTS + 4790*DEN + 131.2*GR + -179.9*CNL + -0.01155*LLD + 0.2512*LLS + -3.227e+04*RMSC + -73.41*CAL + -6.02*AC + 4.414e+04,WellD
ZXX7,YMOD,Linear_single,0.9339,0.9072,3361.6524,2621,655,-688.8 * DTS + 1.283e+05,WellD
ZXX7,YMOD,SVR_rbf,0.1293,0.0235,10403.1872,2621,655,"SVR(rbf, C=10)",WellD
ZXX7,YMOD,XGBoost,0.9999,0.9463,2689.6726,2621,655,"XGBoost(n=200, depth=6)",WellD
ZXX7,YMOD,Poly3,0.9997,-16212080614087.19,2159448706.4585,2621,655,"Poly(deg=3, n_terms=285)",WellD
ZXX7,YMOD,Poly2,0.9996,-237380.3071,262105.6777,2621,655,"Poly(deg=2, n_terms=65)",WellD
ZXX7,YMOD,RF,0.9997,0.9275,3114.8528,2621,655,RF(n=200),WellD
ZXX7,YMOD,MLP_BP,0.9987,-129.1032,11133.6016,2621,655,"MLP-BP(64,32)",WellD
